title,link
"Vibe Coding 教程",https://www.runoob.com/vibe-coding/vibe-coding-tutorial.html
"Vibe Coding 简介",https://www.runoob.com/vibe-coding/vibe-coding-intro.html
"Vibe Coding 思维模式",https://www.runoob.com/vibe-coding/vibe-coding-mindset.html
"第一个 Vibe Coding",https://www.runoob.com/vibe-coding/vibe-coding-usage.html
"提示词（Prompt）工程",https://www.runoob.com/vibe-coding/vibe-coding-prompt.html
"Vibe Coding 实战项目",https://www.runoob.com/vibe-coding/vibe-coding-practice.html
"GitHub Copilot 入门教程",https://www.runoob.com/vibe-coding/github-copilot-usage.html
"Claude Code 入门教程",https://www.runoob.com/vibe-coding/claude-code.html
"OpenCode 入门教程",https://www.runoob.com/vibe-coding/opencode-coding-agent.html
"OpenCode Coding Plan",https://www.runoob.com/vibe-coding/opencode-coding-plan.html
"CC Switch",https://www.runoob.com/vibe-coding/cc-switch.html
"Skills 教程",https://www.runoob.com/vibe-coding/skills-agent.html
"OpenCode skills",https://www.runoob.com/vibe-coding/opencode-skills-intro.html
"Qoder 教程",https://www.runoob.com/vibe-coding/qoder-quick-start.html
"Qoder Quest 模式",https://www.runoob.com/vibe-coding/qoder-quest-mode.html
"Qoder CLI",https://www.runoob.com/vibe-coding/qoder-cli.html
"ZCode 入门教程",https://www.runoob.com/vibe-coding/zcode-usage.html
"Trae 教程",https://www.runoob.com/vibe-coding/trae-quick-star.html
"Trae Solo",https://www.runoob.com/vibe-coding/trae-solo.html
"Kilo Code",https://www.runoob.com/vibe-coding/kilo-code-usage.html
"Oh My Pi",https://www.runoob.com/vibe-coding/omp-usage.html
